2026-06-28 22:45:26.659 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2026-06-28 22:45:26.811 [main] INFO  Settings were loaded from freerouting.json
2026-06-28 22:45:28.620 [main] INFO  Opening 'C:/Users/Mads2/AppData/Local/Temp/claude/C--Users-Mads2-personal-projects/6c7ff437-1f0d-40ac-9d1c-bbde1b01798e/scratchpad/buck.autoplaced.dsn'...
2026-06-28 22:45:29.240 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v2.2.4
2026-06-28 22:45:52.472 [Thread-22] INFO  Starting auto-routing...
2026-06-28 22:45:52.666 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:52.739 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:52.891 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:52.995 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:53.074 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:53.099 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:53.106 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:53.112 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:53.120 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.082 [Thread-22] INFO  Auto-routing was completed in 1.60 seconds.
2026-06-28 22:45:54.185 [Thread-22] INFO  Starting route optimization on 1 thread...
2026-06-28 22:45:54.206 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.328 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.456 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.592 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.722 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.798 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.848 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.919 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:54.924 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:55.188 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.133 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.192 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.335 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.406 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.450 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.497 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.538 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.543 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:56.718 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.389 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.443 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.595 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.629 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.675 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.678 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:57.822 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.250 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.283 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.310 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.434 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.471 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.512 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.517 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.659 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.674 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:58.717 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.187 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.236 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.368 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.408 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.463 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.523 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.527 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.673 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.737 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:45:59.752 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.255 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.282 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.304 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.492 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.529 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.569 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.615 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.619 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.750 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.795 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.811 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.849 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.874 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:00.914 [Thread-22] WARN  FloatLine: Parameter is null
2026-06-28 22:46:01.383 [Thread-22] WARN  FloatLine: Parameter is null
